place
Sorøe
Viborg
Kiøbinghaffn
Kiøbinghafn
Odense
Rønne
Randers
Kbh.
Kjøbenhavn
Kbh
Cph
Hjørring
Aalborg
Frederikshavn
Kiøbenh.
Kiøbenhavn
Kivbenhavn!
S.l.
Kiøbenhaffn
København
Rudkjøbing
Lyngby
Aarhus
Bergen
Svendborg
Kolding
Apenrade
Hobro
Kristiansund
Slesvig
Horsens
Slagelse
Christiania
Haderslev
Kallundborg
Veile
Aarhuus
Skive
Kiliæ
Vordingborg
Fredericia
Kph.
Svendborg Kbh
Christiania Kbh. Christiania
Silkeborg
Kjöbenhavn
Helsingør
Stubbekjøbing
Kjbh.
Stockholm
Lybeck
Thisted
Nestved
Skanderborg
Porsgrund
Hafniæ
Copenhagen
Nykjøbing p. M.
Roskilde
Stege
Ringkjøbing
Middelfart
Nykjøbing M.
Kjøge
Hadersl.
Kjøbenahavn
s.l.
Kiøbenhafn
Wien
Stavanger
London
Slagelse.
Tønder
Nexø Rønne
Kbh. Aarhus
Nykøbing Jylland
Fridericia
Christiansand
Hamb.
Sorø
Hørsholm
Kbh. c
Tronhjem
Kalundborg
Neenah Wis.
Hamborg
Nykjøbing p. F.
Kiöbenhavn
Næstved
Kristiania
Kiel
Trondheim
Assens
Trondhjem
Schleswig
Nykjøbing
Kbhn
Nykjøbmng p. M.
Nyk. p. M.
Slaglosiae
Aabenraa
Nakskov
Tronhiem
Leipzig
Catania
Haye
Roeskilde
Ringsted
Napoli
Ribe
Altona
Flensborg
Holbæk
Chicago Ill.
Hjøring
Ottense
Levanger
Chicago
Strassburg
Ebeltoft
Hauniæ
Nykjøb. p. F.
S.l
Kbh. Rudkjøbing
Kbh. Sønderborg
Sønderborg
Philadelphia
Cedar Rapids Iowa
Nykøbing F.
Holbek
Tarm
Ålborg
Nyborg
Haun.
Mariboe
Hirschholm
Hafn.
Nørresundby
Borris
Faaborg
Lund
Husum
Jyderup
Vejle
Nykøbing
Sevel-Hedegaard
Minneapolis
Lyngbye
Cph.
Reykjavik
Grenaa
